"","sciname_with_author","family","state_rank","global_rank","federal_listing","ssp_var","genus","species","sciname_only","intraspecific_qualifier","intraspecies"
"1","Abies amabilis Douglas ex J. Forbes","Pinaceae","S3","G5",NA,FALSE,"Abies","amabilis","Abies amabilis","NULL","NULL"
"2","Agoseris aurantiaca var. aurantiaca (Hooker) Greene","Asteraceae","S1S2","G5T4T5",NA,TRUE,"Agoseris","aurantiaca","Agoseris aurantiaca var. aurantiaca","var.","aurantiaca"
"3","Agoseris glauca (Pursh) Rafinesque","Asteraceae","S2S3Q","G5","BLM Watch",FALSE,"Agoseris","glauca","Agoseris glauca","NULL","NULL"
"4","Agrostis clavata Trin.","Poaceae","S1S2","G4G5",NA,FALSE,"Agrostis","clavata","Agrostis clavata","NULL","NULL"
"5","Allium victorialis L.","Liliaceae","S1","G5",NA,FALSE,"Allium","victorialis","Allium victorialis","NULL","NULL"
"6","Alyssum obovatum (C.A. Mey.) Turcz.","Brassicaceae","S2S3","G5","BLM Watch",FALSE,"Alyssum","obovatum","Alyssum obovatum","NULL","NULL"
"7","Ambrosia chamissonis (Lessing) Greene","Asteraceae","S2","G4G5","BLM Watch",FALSE,"Ambrosia","chamissonis","Ambrosia chamissonis","NULL","NULL"
"8","Antennaria densifolia A.E. Porsild","Asteraceae","S2","G4G5","BLM Sensitive",FALSE,"Antennaria","densifolia","Antennaria densifolia","NULL","NULL"
"9","Antennaria dioica (L.) Gaertn.","Asteraceae","S2S3","G5",NA,FALSE,"Antennaria","dioica","Antennaria dioica","NULL","NULL"
"10","Apocynum androsaemifolium L.","Apocynaceae","S3","G5",NA,FALSE,"Apocynum","androsaemifolium","Apocynum androsaemifolium","NULL","NULL"
"11","Arenaria longipedunculata Hulten","Caryophyllaceae","S3S4","G3G4Q","BLM Watch",FALSE,"Arenaria","longipedunculata","Arenaria longipedunculata","NULL","NULL"
"12","Arnica lonchophylla ssp. lonchophylla Greene","Asteraceae","S1S2","G4T4","BLM Sensitive",TRUE,"Arnica","lonchophylla","Arnica lonchophylla ssp. lonchophylla","ssp.","lonchophylla"
"13","Arnica mollis Hooker","Asteraceae","S2","G5",NA,FALSE,"Arnica","mollis","Arnica mollis","NULL","NULL"
"14","Arnica ovata Greene","Asteraceae","S3S4","G5",NA,FALSE,"Arnica","ovata","Arnica ovata","NULL","NULL"
"15","Artemisia aleutica Hulten","Asteraceae","S1","G1",NA,FALSE,"Artemisia","aleutica","Artemisia aleutica","NULL","NULL"
"16","Artemisia dracunculus L.","Asteraceae","S1S2","G5",NA,FALSE,"Artemisia","dracunculus","Artemisia dracunculus","NULL","NULL"
"17","Artemisia globularia var. lutea Hulten","Asteraceae","S2","G4TNR","BLM Sensitive",TRUE,"Artemisia","globularia","Artemisia globularia var. lutea","var.","lutea"
