sciname_with_author,family,state_rank,global_rank,federal_listing
Abies amabilis Douglas ex J. Forbes,Pinaceae,S3,G5,
Agoseris aurantiaca var. aurantiaca (Hooker) Greene,Asteraceae,S1S2,G5T4T5,
Agoseris glauca (Pursh) Rafinesque,Asteraceae,S2S3Q,G5,BLM Watch
Agrostis clavata Trin.,Poaceae,S1S2,G4G5,
Allium victorialis L.,Liliaceae,S1,G5,
Alyssum obovatum (C.A. Mey.) Turcz.,Brassicaceae,S2S3,G5,BLM Watch
Ambrosia chamissonis (Lessing) Greene,Asteraceae,S2,G4G5,BLM Watch
Antennaria densifolia A.E. Porsild,Asteraceae,S2,G4G5,BLM Sensitive
Antennaria dioica (L.) Gaertn.,Asteraceae,S2S3,G5,
Apocynum androsaemifolium L.,Apocynaceae,S3,G5,
Arenaria longipedunculata Hulten,Caryophyllaceae,S3S4,G3G4Q,BLM Watch
Arnica lonchophylla ssp. lonchophylla Greene,Asteraceae,S1S2,G4T4,BLM Sensitive
Arnica mollis Hooker,Asteraceae,S2,G5,
Arnica ovata Greene,Asteraceae,S3S4,G5,
Artemisia aleutica Hulten,Asteraceae,S1,G1,
Artemisia dracunculus L.,Asteraceae,S1S2,G5,
Artemisia globularia var. lutea Hulten,Asteraceae,S2,G4TNR,BLM Sensitive
Artemisia senjavinensis Besser,Asteraceae,S3,G3,BLM Sensitive
Artemisia stelleriana Besser,Asteraceae,S1,G5,
Artemisia tanacetifolia L.,Asteraceae,S3,GNR,BLM Watch
Aspidotis densa (Brack.) Lellinger,Pteridaceae,S1,G5,
Asplenium trichomanes ssp. quadrivalens D.E. Meyer,Aspleniaceae,S2S3,G5T5?,
Astragalus agrestis Douglas ex G. Don,Fabaceae,S1,G5,
Astragalus robbinsii var. harringtonii (Rydb.) Barneby,Fabaceae,S3,G5T3,BLM Watch
Astragalus williamsii Rydb.,Fabaceae,S3,G4,
Bidens tripartita L.,Asteraceae,S1,G5,
Blysmopsis rufa (Hudson) Oteng-Yeboah,Cyperaceae,SH,GNR,
Boechera calderi (G.A. Mulligan) Windham & Al-Shehbaz,Brassicaceae,S1,G4?,
Boechera drepanoloba (Greene) Windham & Al-Shehbaz,Brassicaceae,S1,G4?,
Boechera lemmonii (S. Watson) W.A. Weber,Brassicaceae,S1S2,G5,
Boechera stricta (Graham) Al-Shehbaz,Brassicaceae,SU,G5,
Bolboschoenus maritimus ssp. paludosus (A. Nelson) A. Love & D. Love,Cyperaceae,S3,GNRTNR,
Botrychium alaskense W.H. Wagner and J.R. Grant,Ophioglossaceae,S3,G4,BLM Watch
Botrychium ascendens W.H. Wagner,Ophioglossaceae,S2S3,G3,
Botrychium campestre var. lineare (W.H. Wagner) Farrar comb. nov. ined.,Ophioglossaceae,S1,G2?,
Botrychium montanum W.H. Wagner,Ophioglossaceae,S1,G3,
Botrychium pedunculosum W.H. Wagner,Ophioglossaceae,S1,G2G3,
Botrychium robustum Rupr.,Ophioglossaceae,S1S2,G4G5,
Botrychium spathulatum W.H. Wagner,Ophioglossaceae,S1,G3,"USFS, BLM Sensitive"
Botrychium tunux Stensvold & Farrar,Ophioglossaceae,S2,G3G4,USFS
Botrychium virginianum (L.) Swartz,Ophioglossaceae,S3,G5,
Botrychium yaaxudakeit Stensvold & Farrar,Ophioglossaceae,S2,G3G4,USFS
Brasenia schreberi J.F. Gmel.,Cabombaceae,S1,G5,
Cardamine angulata Hooker,Brassicaceae,S1S2,G5,
Cardamine blaisdellii Eastwood,Brassicaceae,S3S4,G3G4,BLM Watch
Cardamine microphylla J.E. Adams,Brassicaceae,S2,G3G4,
Cardamine pensylvanica Muhlenberg ex Willdenow,Brassicaceae,S1,G5,
Carex adelostoma V. I Krecz.,Cyperaceae,S1S2,G4,
Carex atherodes Spreng.,Cyperaceae,S3S4,G5,
Carex athrostachya Olney,Cyperaceae,S1,G5,
Carex atratiformis Britton,Cyperaceae,S3,G5,
Carex bebbii Olney ex Fernald,Cyperaceae,S1,G5,
Carex deflexa var. deflexa Hornem.,Cyperaceae,S2S3,G5,BLM Watch
Carex deweyana var. deweyana Schwein.,Cyperaceae,S2S3,G5,
Carex eburnea Boott,Cyperaceae,S3,G5,
Carex echinata ssp. echinata Murray,Cyperaceae,S1S2,G5T5,
Carex glareosa ssp. pribylovensis (Macoun) G. Halliday & Chater,Cyperaceae,S2,G4G5T2T3,
Carex heleonastes Ehrh. Ex L. f.,Cyperaceae,S3,G4,
Carex hoodii Boott,Cyperaceae,S1,G5,
Carex interior L.H. Bailey,Cyperaceae,S3,G5,
Carex lapponica O. Lang,Cyperaceae,S3S4,G4G5Q,
Carex laxa Wahlenberg,Cyperaceae,S1S2,G5?,BLM Sensitive
Carex parryana Dewey,Cyperaceae,S2,G4,BLM Sensitive
Carex peckii Howe,Cyperaceae,S2,G4G5,BLM Watch
Carex phaeocephala Piper,Cyperaceae,S3,G4,BLM Watch
Carex praegracilis W. Boott,Cyperaceae,SP,G4,
Carex sabulosa ssp. leiophylla (Mack.) A.E. Porsild,Cyperaceae,S1,G5,
Carex sartwellii Dewey,Cyperaceae,S1,G4G5,
Carex sprengelii Dewey ex Spreng.,Cyperaceae,S1,G5,
Carex sychnocephala J. Carey,Cyperaceae,S2,G4,
Carex tahoensis Smiley,Cyperaceae,S1,G5,
Carex xerantica L.H. Bailey,Cyperaceae,S1,G5,
Catabrosa aquatica (L.) P. Beauv.,Poaceae,S1S2,G5,
Cerastium aleuticum Hulten,Caryophyllaceae,S3,G3,
Ceratophyllum demersum L.,Ceratophyllaceae,S3S4,G5,
Chamaerhodos erecta (L.) Bunge,Rosaceae,S2S3,G5,
Chenopodium salinum Standl.,Amaranthaceae,S3S4,G5T5,
Chimaphila umbellata ssp. umbellata (L.) W.P.C. Barton,Ericaceae,S2,G5T5,
Chrysosplenium rosendahlii Packer,Saxifragaceae,S1S2,G4G5Q,
Cicuta bulbifera L.,Apiaceae,S3,G5,
Cirsium edule var. macounii (Greene) D.J. Keil,Asteraceae,SU,G4TNR,USFS
Cirsium kamtschaticum Ledeb. ex DC.,Asteraceae,SU,G3?,
Claytonia arctica Adams,Montiaceae,S1S2,G3,
Cochlearia sessilifolia Rollins,Brassicaceae,S2Q,G2,"USFS, BLM Sensitive"
Corispermum ochotense Ignatov,Amaranthaceae,S3,G3G4,
Crassula aquatica (L.) Schonland,Crassulaceae,S1S2,G5,
Crataegus suksdorfii (Sarg.) Kruschke,Rosaceae,SH,GNR,
Cryptantha shackletteana L.C.Higgins,Boraginaceae,S1,G1Q,BLM Sensitive
Cryptogramma stelleri (S.G. Gmel.) Prantl,Pteridaceae,S3S4,G5,
